ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Character,CharacterVariants,Pinyin,WordFamily,FormVariants
OldChinese-25-Adeepblack-1,àn3,OldChinese,25-Adeepblack,*Ɂə̂mɁ,Ɂə̂mɁ,,,Schuessler2007,25,,,,黯,,àn,àn3,
LateHanChinese-25-Adeepblack-1,àn3,LateHanChinese,25-Adeepblack,Ɂəmᴮ,Ɂəmᴮ,,,Schuessler2007,25,,,,黯,,àn,àn3,
MiddleChinese-25-Adeepblack-1,àn3,MiddleChinese,25-Adeepblack,Ɂậmᴮ,Ɂậmᴮ,,,Schuessler2007,25,,,,黯,,àn,àn3,
OldChinese-26-Bedark-1,àn,OldChinese,26-Bedark,*Ɂə̂ms,Ɂə̂ms,,,Schuessler2007,26,,,,暗,暗闇,àn,àn3,
LateHanChinese-26-Bedark-1,àn,LateHanChinese,26-Bedark,Ɂəmᶜ,Ɂəmᶜ,,,Schuessler2007,26,,,,暗,暗闇,àn,àn3,
MiddleChinese-26-Bedark-1,àn,MiddleChinese,26-Bedark,Ɂậmᶜ,Ɂậmᶜ,,,Schuessler2007,26,,,,暗,暗闇,àn,àn3,
OldChinese-29-Asmallmouthedlargebelliedearthenjarforfetchingwater-1,àng,OldChinese,29-Asmallmouthedlargebelliedearthenjarforfetchingwater,*Ɂâŋh,Ɂâŋh,,,Schuessler2007,29,,,,盎,,àng,àng,
LateHanChinese-29-Asmallmouthedlargebelliedearthenjarforfetchingwater-1,àng,LateHanChinese,29-Asmallmouthedlargebelliedearthenjarforfetchingwater,Ɂɑŋᶜ,Ɂɑŋᶜ,,,Schuessler2007,29,,,,盎,,àng,àng,
MiddleChinese-29-Asmallmouthedlargebelliedearthenjarforfetchingwater-1,àng,MiddleChinese,29-Asmallmouthedlargebelliedearthenjarforfetchingwater,Ɂâŋᶜ,Ɂâŋᶜ,,,Schuessler2007,29,,,,盎,,àng,àng,
OldChinese-31-Tocryclamor-1,áo2,OldChinese,31-Tocryclamor,*ŋâu,ŋâu,,,Schuessler2007,31,,,,嗷,,áo,áo2,
LateHanChinese-31-Tocryclamor-1,áo2,LateHanChinese,31-Tocryclamor,ŋɑu,ŋɑu,,,Schuessler2007,31,,,,嗷,,áo,áo2,
MiddleChinese-31-Tocryclamor-1,áo2,MiddleChinese,31-Tocryclamor,ŋâu,ŋâu,,,Schuessler2007,31,,,,嗷,,áo,áo2,
OldChinese-32-Tofry-1,áo3,OldChinese,32-Tofry,*ŋâu,ŋâu,,,Schuessler2007,32,,,,熬,,áo,áo3,
LateHanChinese-32-Tofry-1,áo3,LateHanChinese,32-Tofry,ŋɑu,ŋɑu,,,Schuessler2007,32,,,,熬,,áo,áo3,
MiddleChinese-32-Tofry-1,áo3,MiddleChinese,32-Tofry,ŋâu,ŋâu,,,Schuessler2007,32,,,,熬,,áo,áo3,
OldChinese-33-Inside-1,ào1,OldChinese,33-Inside,*Ɂûkh,Ɂûkh,,,Schuessler2007,33,,,,澳,澳隩,ào,ào1,
LateHanChinese-33-Inside-1,ào1,LateHanChinese,33-Inside,Ɂouᶜ,Ɂouᶜ,,,Schuessler2007,33,,,,澳,澳隩,ào,ào1,
MiddleChinese-33-Inside-1,ào1,MiddleChinese,33-Inside,Ɂâuᶜ,Ɂâuᶜ,,,Schuessler2007,33,,,,澳,澳隩,ào,ào1,
OldChinese-34-Proudarrogant-1,ào2,OldChinese,34-Proudarrogant,*ŋâuh,ŋâuh,,,Schuessler2007,34,,,,傲,,ào,ào2,
LateHanChinese-34-Proudarrogant-1,ào2,LateHanChinese,34-Proudarrogant,ŋɑuᶜ,ŋɑuᶜ,,,Schuessler2007,34,,,,傲,,ào,ào2,
MiddleChinese-34-Proudarrogant-1,ào2,MiddleChinese,34-Proudarrogant,ngâuᶜ,ngâuᶜ,,,Schuessler2007,34,,,,傲,,ào,ào2,
OldChinese-36-Eight-1,bā1,OldChinese,36-Eight,*prêt,prêt,,,Schuessler2007,36,,,,八,,bā,bā1,
LateHanChinese-36-Eight-1,bā1,LateHanChinese,36-Eight,pɛt,pɛt,,,Schuessler2007,36,,,,八,,bā,bā1,
MiddleChinese-36-Eight-1,bā1,MiddleChinese,36-Eight,pwăt,pwăt,,,Schuessler2007,36,,,,八,,bā,bā1,
OldChinese-37-Python-1,bā2,OldChinese,37-Python,*prâ,prâ,,,Schuessler2007,37,,,,巴,,bā,bā2,
LateHanChinese-37-Python-1,bā2,LateHanChinese,37-Python,pa,pa,,,Schuessler2007,37,,,,巴,,bā,bā2,
MiddleChinese-37-Python-1,bā2,MiddleChinese,37-Python,pa,pa,,,Schuessler2007,37,,,,巴,,bā,bā2,
